opera,act,freehandAnnotation_file_startTime,WritingStartime_delay,Time_into_annotatorVideo,freehandAnnotation_file_startTime_in24
Rh,1st anno,7:39pm,00:00:00,00:15:27,19:39:00
Rh,last anno,10:07pm,00:00:00,02:43:05,22:07:00
Wal,1,5:04pm,00:03:34,00:14:32,17:04:00
Wal,2,6:51pm,00:03:37,02:01:22,18:51:00 
Wal,3,9:24pm,00:00:07,00:01:03,21:24:00
Si,1,5:03pm,00:00:12,00:06:51,17:03:00
Si,2,7:09pm,00:00:14,02:12:34,19:09:00
Si,3,9:30pm,00:04:02,00:02:04,21:30:00
Go,1,5:04pm,00:00:04,00:03:48,17:04:00
Go,2,7:43pm,00:00:35,00:02:12,19:43:00
Go,3,9:54pm,00:00:45,00:02:40,21:54:00
